n,pts_time,fps,frame_idx
1,0.0,30.0,0
2,1.0,30.0,30
3,2.0,30.0,60
4,3.0,30.0,90
5,4.0,30.0,120
6,5.0,30.0,150
7,6.0,30.0,180
8,7.0,30.0,210
9,8.0,30.0,240
10,9.0,30.0,270
11,10.0,30.0,300
12,11.0,30.0,330
13,12.0,30.0,360
14,13.0,30.0,390
15,14.0,30.0,420
16,15.0,30.0,450
17,16.0,30.0,480
18,17.0,30.0,510
19,18.0,30.0,540
20,19.0,30.0,570
21,20.0,30.0,600
22,21.0,30.0,630
23,22.0,30.0,660
24,23.0,30.0,690
25,24.0,30.0,720
26,25.0,30.0,750
27,26.0,30.0,780
28,27.0,30.0,810
29,28.0,30.0,840
30,29.0,30.0,870
31,30.0,30.0,900
32,31.0,30.0,930
33,32.0,30.0,960
34,33.0,30.0,990
35,34.0,30.0,1020
36,35.0,30.0,1050
37,36.0,30.0,1080
38,37.0,30.0,1110
39,38.0,30.0,1140
40,39.0,30.0,1170
41,40.0,30.0,1200
42,41.0,30.0,1230
43,42.0,30.0,1260
44,43.0,30.0,1290
45,44.0,30.0,1320
46,45.0,30.0,1350
47,46.0,30.0,1380
48,47.0,30.0,1410
49,48.0,30.0,1440
50,49.0,30.0,1470
51,50.0,30.0,1500
52,51.0,30.0,1530
53,52.0,30.0,1560
54,53.0,30.0,1590
55,54.0,30.0,1620
56,55.0,30.0,1650
57,56.0,30.0,1680
58,57.0,30.0,1710
59,58.0,30.0,1740
60,59.0,30.0,1770
61,60.0,30.0,1800
62,61.0,30.0,1830
63,62.0,30.0,1860
64,63.0,30.0,1890
65,64.0,30.0,1920
66,65.0,30.0,1950
67,66.0,30.0,1980
68,67.0,30.0,2010
69,68.0,30.0,2040
70,69.0,30.0,2070
71,70.0,30.0,2100
72,71.0,30.0,2130
73,72.0,30.0,2160
74,73.0,30.0,2190
75,74.0,30.0,2220
76,75.0,30.0,2250
77,76.0,30.0,2280
78,77.0,30.0,2310
79,78.0,30.0,2340
80,79.0,30.0,2370
81,80.0,30.0,2400
82,81.0,30.0,2430
83,82.0,30.0,2460
84,83.0,30.0,2490
85,84.0,30.0,2520
86,85.0,30.0,2550
87,86.0,30.0,2580
88,87.0,30.0,2610
89,88.0,30.0,2640
90,89.0,30.0,2670
91,90.0,30.0,2700
92,91.0,30.0,2730
93,92.0,30.0,2760
94,93.0,30.0,2790
95,94.0,30.0,2820
96,95.0,30.0,2850
97,96.0,30.0,2880
98,97.0,30.0,2910
99,98.0,30.0,2940
100,99.0,30.0,2970
101,100.0,30.0,3000
102,101.0,30.0,3030
103,102.0,30.0,3060
104,103.0,30.0,3090
105,104.0,30.0,3120
106,105.0,30.0,3150
107,106.0,30.0,3180
108,107.0,30.0,3210
109,108.0,30.0,3240
110,109.0,30.0,3270
111,110.0,30.0,3300
112,111.0,30.0,3330
113,112.0,30.0,3360
114,113.0,30.0,3390
115,114.0,30.0,3420
116,115.0,30.0,3450
117,116.0,30.0,3480
118,117.0,30.0,3510
119,118.0,30.0,3540
120,119.0,30.0,3570
121,120.0,30.0,3600
122,121.0,30.0,3630
123,122.0,30.0,3660
124,123.0,30.0,3690
125,124.0,30.0,3720
126,125.0,30.0,3750
127,126.0,30.0,3780
128,127.0,30.0,3810
129,128.0,30.0,3840
130,129.0,30.0,3870
131,130.0,30.0,3900
132,131.0,30.0,3930
133,132.0,30.0,3960
134,133.0,30.0,3990
135,134.0,30.0,4020
136,135.0,30.0,4050
137,136.0,30.0,4080
138,137.0,30.0,4110
139,138.0,30.0,4140
140,139.0,30.0,4170
141,140.0,30.0,4200
142,141.0,30.0,4230
143,142.0,30.0,4260
144,143.0,30.0,4290
145,144.0,30.0,4320
146,145.0,30.0,4350
147,146.0,30.0,4380
148,147.0,30.0,4410
149,148.0,30.0,4440
150,149.0,30.0,4470
151,150.0,30.0,4500
152,151.0,30.0,4530
153,152.0,30.0,4560
154,153.0,30.0,4590
155,154.0,30.0,4620
156,155.0,30.0,4650
157,156.0,30.0,4680
158,157.0,30.0,4710
159,158.0,30.0,4740
160,159.0,30.0,4770
161,160.0,30.0,4800
162,161.0,30.0,4830
163,162.0,30.0,4860
164,163.0,30.0,4890
165,164.0,30.0,4920
166,165.0,30.0,4950
167,166.0,30.0,4980
168,167.0,30.0,5010
169,168.0,30.0,5040
170,169.0,30.0,5070
171,170.0,30.0,5100
172,171.0,30.0,5130
173,172.0,30.0,5160
174,173.0,30.0,5190
175,174.0,30.0,5220
176,175.0,30.0,5250
177,176.0,30.0,5280
178,177.0,30.0,5310
179,178.0,30.0,5340
180,179.0,30.0,5370
181,180.0,30.0,5400
182,181.0,30.0,5430
183,182.0,30.0,5460
184,183.0,30.0,5490
185,184.0,30.0,5520
186,185.0,30.0,5550
187,186.0,30.0,5580
188,187.0,30.0,5610
189,188.0,30.0,5640
190,189.0,30.0,5670
191,190.0,30.0,5700
192,191.0,30.0,5730
193,192.0,30.0,5760
194,193.0,30.0,5790
195,194.0,30.0,5820
196,195.0,30.0,5850
197,196.0,30.0,5880
198,197.0,30.0,5910
199,198.0,30.0,5940
200,199.0,30.0,5970
201,200.0,30.0,6000
202,201.0,30.0,6030
203,202.0,30.0,6060
204,203.0,30.0,6090
205,204.0,30.0,6120
206,205.0,30.0,6150
207,206.0,30.0,6180
208,207.0,30.0,6210
209,208.0,30.0,6240
210,209.0,30.0,6270
211,210.0,30.0,6300
212,211.0,30.0,6330
213,212.0,30.0,6360
214,213.0,30.0,6390
215,214.0,30.0,6420
216,215.0,30.0,6450
217,216.0,30.0,6480
218,217.0,30.0,6510
219,218.0,30.0,6540
220,219.0,30.0,6570
221,220.0,30.0,6600
222,221.0,30.0,6630
223,222.0,30.0,6660
224,223.0,30.0,6690
225,224.0,30.0,6720
226,225.0,30.0,6750
227,226.0,30.0,6780
228,227.0,30.0,6810
229,228.0,30.0,6840
230,229.0,30.0,6870
231,230.0,30.0,6900
232,231.0,30.0,6930
233,232.0,30.0,6960
234,233.0,30.0,6990
235,234.0,30.0,7020
236,235.0,30.0,7050
237,236.0,30.0,7080
238,237.0,30.0,7110
239,238.0,30.0,7140
240,239.0,30.0,7170
241,240.0,30.0,7200
242,241.0,30.0,7230
243,242.0,30.0,7260
244,243.0,30.0,7290
245,244.0,30.0,7320
246,245.0,30.0,7350
247,246.0,30.0,7380
248,247.0,30.0,7410
249,248.0,30.0,7440
250,249.0,30.0,7470
251,250.0,30.0,7500
252,251.0,30.0,7530
253,252.0,30.0,7560
254,253.0,30.0,7590
255,254.0,30.0,7620
256,255.0,30.0,7650
257,256.0,30.0,7680
258,257.0,30.0,7710
259,258.0,30.0,7740
260,259.0,30.0,7770
261,260.0,30.0,7800
262,261.0,30.0,7830
263,262.0,30.0,7860
264,263.0,30.0,7890
265,264.0,30.0,7920
266,265.0,30.0,7950
267,266.0,30.0,7980
268,267.0,30.0,8010
269,268.0,30.0,8040
270,269.0,30.0,8070
271,270.0,30.0,8100
272,271.0,30.0,8130
273,272.0,30.0,8160
274,273.0,30.0,8190
275,274.0,30.0,8220
276,275.0,30.0,8250
277,276.0,30.0,8280
278,277.0,30.0,8310
279,278.0,30.0,8340
280,279.0,30.0,8370
281,280.0,30.0,8400
282,281.0,30.0,8430
283,282.0,30.0,8460
284,283.0,30.0,8490
285,284.0,30.0,8520
286,285.0,30.0,8550
287,286.0,30.0,8580
288,287.0,30.0,8610
289,288.0,30.0,8640
290,289.0,30.0,8670
291,290.0,30.0,8700
292,291.0,30.0,8730
293,292.0,30.0,8760
294,293.0,30.0,8790
295,294.0,30.0,8820
296,295.0,30.0,8850
297,296.0,30.0,8880
298,297.0,30.0,8910
299,298.0,30.0,8940
300,299.0,30.0,8970
301,300.0,30.0,9000
302,301.0,30.0,9030
303,302.0,30.0,9060
304,303.0,30.0,9090
305,304.0,30.0,9120
306,305.0,30.0,9150
307,306.0,30.0,9180
308,307.0,30.0,9210
309,308.0,30.0,9240
310,309.0,30.0,9270
311,310.0,30.0,9300
312,311.0,30.0,9330
313,312.0,30.0,9360
314,313.0,30.0,9390
315,314.0,30.0,9420
316,315.0,30.0,9450
317,316.0,30.0,9480
318,317.0,30.0,9510
319,318.0,30.0,9540
320,319.0,30.0,9570
321,320.0,30.0,9600
322,321.0,30.0,9630
323,322.0,30.0,9660
324,323.0,30.0,9690
325,324.0,30.0,9720
326,325.0,30.0,9750
327,326.0,30.0,9780
328,327.0,30.0,9810
329,328.0,30.0,9840
330,329.0,30.0,9870
331,330.0,30.0,9900
332,331.0,30.0,9930
333,332.0,30.0,9960
334,333.0,30.0,9990
335,334.0,30.0,10020
336,335.0,30.0,10050
337,336.0,30.0,10080
338,337.0,30.0,10110
339,338.0,30.0,10140
340,339.0,30.0,10170
341,340.0,30.0,10200
342,341.0,30.0,10230
343,342.0,30.0,10260
344,343.0,30.0,10290
345,344.0,30.0,10320
346,345.0,30.0,10350
347,346.0,30.0,10380
348,347.0,30.0,10410
349,348.0,30.0,10440
350,349.0,30.0,10470
351,350.0,30.0,10500
352,351.0,30.0,10530
353,352.0,30.0,10560
354,353.0,30.0,10590
355,354.0,30.0,10620
356,355.0,30.0,10650
357,356.0,30.0,10680
358,357.0,30.0,10710
359,358.0,30.0,10740
360,359.0,30.0,10770
361,360.0,30.0,10800
362,361.0,30.0,10830
363,362.0,30.0,10860
364,363.0,30.0,10890
365,364.0,30.0,10920
366,365.0,30.0,10950
367,366.0,30.0,10980
368,367.0,30.0,11010
369,368.0,30.0,11040
370,369.0,30.0,11070
371,370.0,30.0,11100
372,371.0,30.0,11130
373,372.0,30.0,11160
374,373.0,30.0,11190
375,374.0,30.0,11220
376,375.0,30.0,11250
377,376.0,30.0,11280
378,377.0,30.0,11310
379,378.0,30.0,11340
380,379.0,30.0,11370
381,380.0,30.0,11400
382,381.0,30.0,11430
383,382.0,30.0,11460
384,383.0,30.0,11490
385,384.0,30.0,11520
386,385.0,30.0,11550
387,386.0,30.0,11580
388,387.0,30.0,11610
389,388.0,30.0,11640
390,389.0,30.0,11670
391,390.0,30.0,11700
392,391.0,30.0,11730
393,392.0,30.0,11760
394,393.0,30.0,11790
395,394.0,30.0,11820
396,395.0,30.0,11850
397,396.0,30.0,11880
398,397.0,30.0,11910
399,398.0,30.0,11940
400,399.0,30.0,11970
401,400.0,30.0,12000
402,401.0,30.0,12030
403,402.0,30.0,12060
404,403.0,30.0,12090
405,404.0,30.0,12120
406,405.0,30.0,12150
407,406.0,30.0,12180
408,407.0,30.0,12210
409,408.0,30.0,12240
410,409.0,30.0,12270
411,410.0,30.0,12300
412,411.0,30.0,12330
413,412.0,30.0,12360
414,413.0,30.0,12390
415,414.0,30.0,12420
416,415.0,30.0,12450
417,416.0,30.0,12480
418,417.0,30.0,12510
419,418.0,30.0,12540
420,419.0,30.0,12570
421,420.0,30.0,12600
422,421.0,30.0,12630
423,422.0,30.0,12660
424,423.0,30.0,12690
425,424.0,30.0,12720
426,425.0,30.0,12750
427,426.0,30.0,12780
428,427.0,30.0,12810
429,428.0,30.0,12840
430,429.0,30.0,12870
431,430.0,30.0,12900
432,431.0,30.0,12930
433,432.0,30.0,12960
434,433.0,30.0,12990
435,434.0,30.0,13020
436,435.0,30.0,13050
437,436.0,30.0,13080
438,437.0,30.0,13110
439,438.0,30.0,13140
440,439.0,30.0,13170
441,440.0,30.0,13200
442,441.0,30.0,13230
443,442.0,30.0,13260
444,443.0,30.0,13290
445,444.0,30.0,13320
446,445.0,30.0,13350
447,446.0,30.0,13380
448,447.0,30.0,13410
449,448.0,30.0,13440
450,449.0,30.0,13470
451,450.0,30.0,13500
452,451.0,30.0,13530
453,452.0,30.0,13560
454,453.0,30.0,13590
455,454.0,30.0,13620
456,455.0,30.0,13650
457,456.0,30.0,13680
458,457.0,30.0,13710
459,458.0,30.0,13740
460,459.0,30.0,13770
461,460.0,30.0,13800
462,461.0,30.0,13830
463,462.0,30.0,13860
464,463.0,30.0,13890
465,464.0,30.0,13920
466,465.0,30.0,13950
467,466.0,30.0,13980
468,467.0,30.0,14010
469,468.0,30.0,14040
470,469.0,30.0,14070
471,470.0,30.0,14100
472,471.0,30.0,14130
473,472.0,30.0,14160
474,473.0,30.0,14190
475,474.0,30.0,14220
476,475.0,30.0,14250
477,476.0,30.0,14280
478,477.0,30.0,14310
479,478.0,30.0,14340
480,479.0,30.0,14370
481,480.0,30.0,14400
482,481.0,30.0,14430
483,482.0,30.0,14460
484,483.0,30.0,14490
485,484.0,30.0,14520
486,485.0,30.0,14550
487,486.0,30.0,14580
488,487.0,30.0,14610
489,488.0,30.0,14640
490,489.0,30.0,14670
491,490.0,30.0,14700
492,491.0,30.0,14730
493,492.0,30.0,14760
494,493.0,30.0,14790
495,494.0,30.0,14820
496,495.0,30.0,14850
497,496.0,30.0,14880
498,497.0,30.0,14910
499,498.0,30.0,14940
500,499.0,30.0,14970
501,500.0,30.0,15000
502,501.0,30.0,15030
503,502.0,30.0,15060
504,503.0,30.0,15090
505,504.0,30.0,15120
506,505.0,30.0,15150
507,506.0,30.0,15180
508,507.0,30.0,15210
509,508.0,30.0,15240
510,509.0,30.0,15270
511,510.0,30.0,15300
512,511.0,30.0,15330
513,512.0,30.0,15360
514,513.0,30.0,15390
515,514.0,30.0,15420
516,515.0,30.0,15450
517,516.0,30.0,15480
518,517.0,30.0,15510
519,518.0,30.0,15540
520,519.0,30.0,15570
521,520.0,30.0,15600
522,521.0,30.0,15630
523,522.0,30.0,15660
524,523.0,30.0,15690
525,524.0,30.0,15720
526,525.0,30.0,15750
527,526.0,30.0,15780
528,527.0,30.0,15810
529,528.0,30.0,15840
530,529.0,30.0,15870
