n,pts_time,fps,frame_idx
1,0.0,30.0,0
2,1.0,30.0,30
3,2.0,30.0,60
4,3.0,30.0,90
5,4.0,30.0,120
6,5.0,30.0,150
7,6.0,30.0,180
8,7.0,30.0,210
9,8.0,30.0,240
10,9.0,30.0,270
11,10.0,30.0,300
12,11.0,30.0,330
13,12.0,30.0,360
14,13.0,30.0,390
15,14.0,30.0,420
16,15.0,30.0,450
17,16.0,30.0,480
18,17.0,30.0,510
19,18.0,30.0,540
20,19.0,30.0,570
21,20.0,30.0,600
22,21.0,30.0,630
23,22.0,30.0,660
24,23.0,30.0,690
25,24.0,30.0,720
26,25.0,30.0,750
27,26.0,30.0,780
28,27.0,30.0,810
29,28.0,30.0,840
30,29.0,30.0,870
31,30.0,30.0,900
32,31.0,30.0,930
33,32.0,30.0,960
34,33.0,30.0,990
35,34.0,30.0,1020
36,35.0,30.0,1050
