n,pts_time,fps,frame_idx
0,0.0,25.0,1.0
1,1.0,25.0,26.0
2,2.0,25.0,51.0
3,3.0,25.0,76.0
4,4.0,25.0,101.0
5,5.0,25.0,126.0
6,6.0,25.0,151.0
7,7.0,25.0,176.0
8,8.0,25.0,201.0
9,9.0,25.0,226.0
10,10.0,25.0,251.0
11,11.0,25.0,276.0
12,12.0,25.0,301.0
13,13.0,25.0,326.0
14,14.0,25.0,351.0
15,15.0,25.0,376.0
16,16.0,25.0,401.0
17,17.0,25.0,426.0
18,18.0,25.0,451.0
19,19.0,25.0,476.0
20,20.0,25.0,501.0
21,21.0,25.0,526.0
22,22.0,25.0,551.0
23,23.0,25.0,576.0
24,24.0,25.0,601.0
25,25.0,25.0,626.0
26,26.0,25.0,651.0
27,27.0,25.0,676.0
28,28.0,25.0,701.0
29,29.0,25.0,726.0
30,30.0,25.0,751.0
31,31.0,25.0,776.0
32,32.0,25.0,801.0
33,33.0,25.0,826.0
34,34.0,25.0,851.0
35,35.0,25.0,876.0
36,36.0,25.0,901.0
37,37.0,25.0,926.0
38,38.0,25.0,951.0
39,39.0,25.0,976.0
40,40.0,25.0,1001.0
41,41.0,25.0,1026.0
42,42.0,25.0,1051.0
43,43.0,25.0,1076.0
44,44.0,25.0,1101.0
45,45.0,25.0,1126.0
46,46.0,25.0,1151.0
47,47.0,25.0,1176.0
48,48.0,25.0,1201.0
49,49.0,25.0,1226.0
50,50.0,25.0,1251.0
51,51.0,25.0,1276.0
52,52.0,25.0,1301.0
53,53.0,25.0,1326.0
54,54.0,25.0,1351.0
55,55.0,25.0,1376.0
56,56.0,25.0,1401.0
57,57.0,25.0,1426.0
58,58.0,25.0,1451.0
59,59.0,25.0,1476.0
60,60.0,25.0,1501.0
61,61.0,25.0,1526.0
62,62.0,25.0,1551.0
63,63.0,25.0,1576.0
64,64.0,25.0,1601.0
65,65.0,25.0,1626.0
66,66.0,25.0,1651.0
67,67.0,25.0,1676.0
68,68.0,25.0,1701.0
69,69.0,25.0,1726.0
70,70.0,25.0,1751.0
71,71.0,25.0,1776.0
72,72.0,25.0,1801.0
73,73.0,25.0,1826.0
74,74.0,25.0,1851.0
75,75.0,25.0,1876.0
76,76.0,25.0,1901.0
77,77.0,25.0,1926.0
78,78.0,25.0,1951.0
79,79.0,25.0,1976.0
80,80.0,25.0,2001.0
81,81.0,25.0,2026.0
82,82.0,25.0,2051.0
83,83.0,25.0,2076.0
84,84.0,25.0,2101.0
85,85.0,25.0,2126.0
86,86.0,25.0,2151.0
87,87.0,25.0,2176.0
88,88.0,25.0,2201.0
89,89.0,25.0,2226.0
90,90.0,25.0,2251.0
91,91.0,25.0,2276.0
92,92.0,25.0,2301.0
93,93.0,25.0,2326.0
94,94.0,25.0,2351.0
95,95.0,25.0,2376.0
96,96.0,25.0,2401.0
97,97.0,25.0,2426.0
98,98.0,25.0,2451.0
99,99.0,25.0,2476.0
100,100.0,25.0,2501.0
101,101.0,25.0,2526.0
102,102.0,25.0,2551.0
103,103.0,25.0,2576.0
104,104.0,25.0,2601.0
105,105.0,25.0,2626.0
106,106.0,25.0,2651.0
107,107.0,25.0,2676.0
108,108.0,25.0,2701.0
109,109.0,25.0,2726.0
110,110.0,25.0,2751.0
111,111.0,25.0,2776.0
112,112.0,25.0,2801.0
113,113.0,25.0,2826.0
114,114.0,25.0,2851.0
115,115.0,25.0,2876.0
116,116.0,25.0,2901.0
117,117.0,25.0,2926.0
118,118.0,25.0,2951.0
119,119.0,25.0,2976.0
120,120.0,25.0,3001.0
121,121.0,25.0,3026.0
122,122.0,25.0,3051.0
123,123.0,25.0,3076.0
124,124.0,25.0,3101.0
125,125.0,25.0,3126.0
126,126.0,25.0,3151.0
127,127.0,25.0,3176.0
128,128.0,25.0,3201.0
129,129.0,25.0,3226.0
130,130.0,25.0,3251.0
131,131.0,25.0,3276.0
132,132.0,25.0,3301.0
133,133.0,25.0,3326.0
134,134.0,25.0,3351.0
135,135.0,25.0,3376.0
136,136.0,25.0,3401.0
137,137.0,25.0,3426.0
138,138.0,25.0,3451.0
139,139.0,25.0,3476.0
140,140.0,25.0,3501.0
141,141.0,25.0,3526.0
142,142.0,25.0,3551.0
143,143.0,25.0,3576.0
144,144.0,25.0,3601.0
145,145.0,25.0,3626.0
146,146.0,25.0,3651.0
147,147.0,25.0,3676.0
148,148.0,25.0,3701.0
149,149.0,25.0,3726.0
150,150.0,25.0,3751.0
151,151.0,25.0,3776.0
152,152.0,25.0,3801.0
153,153.0,25.0,3826.0
154,154.0,25.0,3851.0
155,155.0,25.0,3876.0
156,156.0,25.0,3901.0
157,157.0,25.0,3926.0
158,158.0,25.0,3951.0
159,159.0,25.0,3976.0
160,160.0,25.0,4001.0
161,161.0,25.0,4026.0
162,162.0,25.0,4051.0
163,163.0,25.0,4076.0
164,164.0,25.0,4101.0
165,165.0,25.0,4126.0
166,166.0,25.0,4151.0
167,167.0,25.0,4176.0
168,168.0,25.0,4201.0
169,169.0,25.0,4226.0
170,170.0,25.0,4251.0
171,171.0,25.0,4276.0
172,172.0,25.0,4301.0
173,173.0,25.0,4326.0
174,174.0,25.0,4351.0
175,175.0,25.0,4376.0
176,176.0,25.0,4401.0
177,177.0,25.0,4426.0
178,178.0,25.0,4451.0
179,179.0,25.0,4476.0
180,180.0,25.0,4501.0
181,181.0,25.0,4526.0
182,182.0,25.0,4551.0
183,183.0,25.0,4576.0
184,184.0,25.0,4601.0
185,185.0,25.0,4626.0
186,186.0,25.0,4651.0
187,187.0,25.0,4676.0
188,188.0,25.0,4701.0
189,189.0,25.0,4726.0
190,190.0,25.0,4751.0
191,191.0,25.0,4776.0
192,192.0,25.0,4801.0
193,193.0,25.0,4826.0
194,194.0,25.0,4851.0
195,195.0,25.0,4876.0
196,196.0,25.0,4901.0
197,197.0,25.0,4926.0
198,198.0,25.0,4951.0
199,199.0,25.0,4976.0
200,200.0,25.0,5001.0
201,201.0,25.0,5026.0
202,202.0,25.0,5051.0
203,203.0,25.0,5076.0
204,204.0,25.0,5101.0
205,205.0,25.0,5126.0
206,206.0,25.0,5151.0
207,207.0,25.0,5176.0
208,208.0,25.0,5201.0
209,209.0,25.0,5226.0
210,210.0,25.0,5251.0
211,211.0,25.0,5276.0
212,212.0,25.0,5301.0
213,213.0,25.0,5326.0
214,214.0,25.0,5351.0
215,215.0,25.0,5376.0
216,216.0,25.0,5401.0
217,217.0,25.0,5426.0
218,218.0,25.0,5451.0
219,219.0,25.0,5476.0
220,220.0,25.0,5501.0
221,221.0,25.0,5526.0
222,222.0,25.0,5551.0
223,223.0,25.0,5576.0
224,224.0,25.0,5601.0
225,225.0,25.0,5626.0
226,226.0,25.0,5651.0
227,227.0,25.0,5676.0
228,228.0,25.0,5701.0
229,229.0,25.0,5726.0
230,230.0,25.0,5751.0
231,231.0,25.0,5776.0
232,232.0,25.0,5801.0
233,233.0,25.0,5826.0
234,234.0,25.0,5851.0
235,235.0,25.0,5876.0
236,236.0,25.0,5901.0
237,237.0,25.0,5926.0
238,238.0,25.0,5951.0
239,239.0,25.0,5976.0
240,240.0,25.0,6001.0
241,241.0,25.0,6026.0
242,242.0,25.0,6051.0
243,243.0,25.0,6076.0
244,244.0,25.0,6101.0
245,245.0,25.0,6126.0
246,246.0,25.0,6151.0
247,247.0,25.0,6176.0
248,248.0,25.0,6201.0
249,249.0,25.0,6226.0
250,250.0,25.0,6251.0
251,251.0,25.0,6276.0
252,252.0,25.0,6301.0
253,253.0,25.0,6326.0
254,254.0,25.0,6351.0
255,255.0,25.0,6376.0
256,256.0,25.0,6401.0
257,257.0,25.0,6426.0
258,258.0,25.0,6451.0
259,259.0,25.0,6476.0
260,260.0,25.0,6501.0
261,261.0,25.0,6526.0
262,262.0,25.0,6551.0
263,263.0,25.0,6576.0
264,264.0,25.0,6601.0
265,265.0,25.0,6626.0
266,266.0,25.0,6651.0
267,267.0,25.0,6676.0
268,268.0,25.0,6701.0
269,269.0,25.0,6726.0
270,270.0,25.0,6751.0
271,271.0,25.0,6776.0
272,272.0,25.0,6801.0
273,273.0,25.0,6826.0
274,274.0,25.0,6851.0
275,275.0,25.0,6876.0
276,276.0,25.0,6901.0
277,277.0,25.0,6926.0
278,278.0,25.0,6951.0
279,279.0,25.0,6976.0
280,280.0,25.0,7001.0
281,281.0,25.0,7026.0
282,282.0,25.0,7051.0
283,283.0,25.0,7076.0
284,284.0,25.0,7101.0
285,285.0,25.0,7126.0
286,286.0,25.0,7151.0
287,287.0,25.0,7176.0
288,288.0,25.0,7201.0
289,289.0,25.0,7226.0
290,290.0,25.0,7251.0
291,291.0,25.0,7276.0
292,292.0,25.0,7301.0
293,293.0,25.0,7326.0
294,294.0,25.0,7351.0
295,295.0,25.0,7376.0
296,296.0,25.0,7401.0
297,297.0,25.0,7426.0
298,298.0,25.0,7451.0
299,299.0,25.0,7476.0
300,300.0,25.0,7501.0
301,301.0,25.0,7526.0
302,302.0,25.0,7551.0
303,303.0,25.0,7576.0
304,304.0,25.0,7601.0
305,305.0,25.0,7626.0
306,306.0,25.0,7651.0
307,307.0,25.0,7676.0
308,308.0,25.0,7701.0
309,309.0,25.0,7726.0
310,310.0,25.0,7751.0
311,311.0,25.0,7776.0
312,312.0,25.0,7801.0
313,313.0,25.0,7826.0
314,314.0,25.0,7851.0
315,315.0,25.0,7876.0
316,316.0,25.0,7901.0
317,317.0,25.0,7926.0
318,318.0,25.0,7951.0
319,319.0,25.0,7976.0
320,320.0,25.0,8001.0
